Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,1,5,3,-7.50344063526827,-7.503,-1.16343559022158,-1.163,g,39,AF7,Negative,50
2,5.5,14,10,8.34514463897289,8.345,1.29394483817099,1.294,g,39,AF3,Positive,64
3,15,22.5,16.5,6.03014057990536,6.03,0.934995091681758,0.935,g,39,P1,Positive,61
4,31.5,40,37.5,-8.74254176855106,-8.743,-1.35556269942653,-1.356,g,39,POz,Negative,56
