Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,1,3,2,-8.51729558634919,-8.517,-1.32063746476772,-1.321,g,39,FC1,Negative,64
2,4,12,6,8.74306718659819,8.743,1.35564416739376,1.356,g,39,Iz,Positive,64
3,13,15,14,-5.32186583101246,-5.322,-0.825174531944925,-0.825,g,39,Oz,Negative,5
4,18,30,28,-8.78126723249001,-8.781,-1.36156722257591,-1.362,g,39,Iz,Negative,41
