Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,1.5,4,3,-6.34555975054042,-6.346,-0.983901974109817,-0.984,g,39,Oz,Negative,16
2,6.5,13,10,6.42562042940909,6.426,0.996315671732119,0.996,g,39,F7,Positive,64
3,17.5,21.5,21,5.50527069793023,5.505,0.853612119441659,0.854,g,39,POz,Positive,45
4,34,40,37.5,-7.98222839099377,-7.982,-1.23767336223181,-1.238,g,39,POz,Negative,24
