Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,1,3,1,-4.96104246193215,-4.961,-0.784409687425738,-0.784,cohen-d,39,FC1,Negative,5
2,1,30,10,13.2225329412984,13.223,2.09066602655543,2.091,cohen-d,39,Fp1,Positive,63
