Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,1,2,1,-6.37067122751841,-6.371,-1.00729156515295,-1.007,cohen-d,39,FCz,Negative,3
2,1,50,10,13.3583900583028,13.358,2.11214692285931,2.112,cohen-d,39,Fp1,Positive,58
